Model,Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Biomass,GW/yr,8.06656990014716,5.28699775991873,0.374400977632982,0.9435694,3.65665338530948,7.83671586962067,2.18547682692621,70.1247685227212,30.8571037828636,108.293470246691,64.5883540360344,0.939125519043019,6.36518719130696,3.79480836720715,3.66487802193024,53.152352551608,28.1576864999249
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,0,0,0,0,0,0,0,69.3052419302017,29.5529979176639,108.168168094038,64.5852460360344,0.838848601374565,6.0000732487661,3.16348510494525,3.26714448031703,53.0575799573125,27.7393596131311
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,8.06656990014716,5.28699775991873,0.374400977632982,0.9435694,3.65665338530948,7.83671586962067,2.18547682692621,0.81952659251956,1.30410586519976,0.125302152652409,0.00310800000000001,0.100276917668454,0.365113942540863,0.631323262261894,0.397733541613208,0.0947725942955608,0.418326886793839
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Coal,GW/yr,80.7629059069064,51.75136,32.3385776171403,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,80.7629059069064,51.75136,32.3385776171403,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Gas,GW/yr,76.395624521857,70.0297683050988,88.4529395938102,12.8969548082206,44.3293735646368,97.6724318910882,70.0041553191117,111.353090090143,121.869939770438,71.8068874438052,55.2963541124817,31.0108542807175,48.3813394157733,102.710847910749,70.5717706110491,59.4729804758311,105.090915741237
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Gas|w/o CCS,GW/yr,76.395624521857,70.0297683050988,88.4529395938102,12.8969548082206,44.3293735646368,97.6724318910882,70.0041553191117,111.353090090143,121.869939770438,71.8068874438052,55.2963541124817,31.0108542807175,48.3813394157733,102.710847910749,70.5717706110491,59.4729804758311,105.090915741237
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Geothermal,GW/yr,0.4434,1.11987,5.92339451010145,0.806201384518806,0.336978,2.23708678920128,0.755536508617086,0.973310806284409,0.718600000000001,1.4887397260274,6.06299451010145,0.998841384518805,0.674014,2.66074678920128,1.23793650861709,2.45051080628441,0.662847978708323
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Hydro,GW/yr,27.3989508034606,44.4551274244391,69.600960145369,28.376444103671,17.2691769075159,25.2350602806336,14.0686646885554,49.5559572554772,27.0623976351816,52.2858253312248,37.9991916906478,46.7725075649689,86.5223183203436,27.9848408565883,17.2691769075159,25.2350602806336,14.0686646885554
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Nuclear,GW/yr,6.967,9.1420372636643,29.7125211202618,21.0309654032654,15.0640540066738,14.5855730526567,11.6429346194053,12.097776270662,12.1180690995044,14.321099191272,35.8567830478695,27.1752273337637,21.2083159348294,18.9330597404074,10.4970403747041,25.8003160294609,17.8909874691159
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Solar,GW/yr,54.54202,301.387483140527,344.25664425639,962.285774437732,475.80078010208,856.769738662085,924.757025311639,1437.78721467392,1003.1563296855,1442.10990436186,1650.112208533,2201.31234437951,1499.54206294818,1888.91260130236,2010.4286242257199,2396.73536655143,1756.9392373045
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Solar|PV,GW/yr,54.54202,301.387483140527,344.25664425639,962.285774437732,475.80078010208,856.769738662085,924.757025311639,1437.78721467392,1003.1563296855,1442.10990436186,1650.112208533,2201.31234437951,1499.54206294818,1888.91260130236,2010.4286242257199,2396.73536655143,1756.9392373045
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Wind,GW/yr,57.54832,271.184518336868,586.706364258556,675.0547886905,342.853476632312,414.855594389495,630.765317822288,820.629125377234,582.808839686109,515.8773153429,885.405100566415,1284.98519234072,943.953661753903,749.343698729915,1149.01022272913,1563.92040415064,1170.18834023912
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Wind|Offshore,GW/yr,0,0,17.6035261080322,7.06393100554165,5.1272575105709,17.6394811298341,91.7990425410369,28.6025557454171,13.9610017703422,16.1075312346987,54.3445486178871,30.2998697004597,26.6449770228192,29.6087278182066,56.0200980811134,23.1238262249107,22.2574887950437
AIM-Technology,World,Opt1.5C,Capacity Additions|Electricity|Wind|Onshore,GW/yr,57.54832,271.184518336868,569.102838150524,667.990857684958,337.726219121741,397.216113259661,538.966275281251,792.026569631817,568.847837915766,499.769784108201,831.060551948528,1254.68532264026,917.308684731084,719.734970911709,1092.99012464801,1540.79657792573,1147.93085144407
AIM-Technology,World,Opt1.5C,Capacity|Electricity,GW,7589.77387346075,10987.7857963724,16586.491279146,25576.6016131039,29488.045578234,33344.0224584738,36448.8438765811,39915.9623201322,43956.8587947764,48385.2047309097,54236.2973001778,61187.2115161034,66120.3647092899,70112.587321955,73606.1804334634,76127.9093168838,78992.6741220864
