Model,Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Technology,R5ASIA,Opt1.5C,Capacity Additions|Electricity|Solar|PV,GW/yr,33.21098,229.719548494355,197.0108665222,638.995791899614,273.64480767071,546.739824426705,581.660935182277,888.195223815693,563.02953170584,826.85079787487,993.953032825067,1353.08898199619,871.275155820571,997.611006473,1198.62232197191,1465.54429522823,965.961907953813
AIM-Technology,R5ASIA,Opt1.5C,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,29.8363502043507,144.045119676867,51.691466199878,190.953510783518,111.512478314401,181.413484552065,121.357100491332,205.135106380743,166.1245045157,248.722081518931,188.492210518879,258.183914710759,211.90423530494,233.344499309239,224.811728552529
AIM-Technology,R5ASIA,Opt1.5C,Capacity Additions|Electricity|Wind,GW/yr,28.22458,129.763345262389,286.145292728265,117.900607460926,104.536407693984,122.870925012859,268.218062207674,134.077113943279,133.866906149225,39.3926016153035,332.087590091347,254.40744304252,203.848094869155,40.158870234385,328.086157885926,266.698380398478,185.958245351581
AIM-Technology,R5ASIA,Opt1.5C,Capacity Additions|Hydrogen|Electricity,GW,0,0,44.737850565574,49.6141117306379,58.0596936234817,73.6194287060454,201.423625901591,191.74433021174,166.299904388523,299.079516769687,322.020495706115,312.716236751766,402.629502833782,355.161442129621,351.761825269053,488.557173008229,360.677929233093
AIM-Technology,R5ASIA,ZF2050,Capacity Additions|Electricity|Solar|PV,GW/yr,33.21098,229.719548494355,197.010866530095,780.220297512604,721.928106911499,1134.73897492314,1894.7760838021,1070.58076650334,1070.64530470011,1296.4890381545,1866.9772793601,995.896238724812,1154.09317297584,1395.93108504724,2021.20907087013,1175.14383862465,1286.55247855239
AIM-Technology,R5ASIA,ZF2050,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,29.8363502076038,148.958982973417,78.769833149522,137.475363842914,179.785744688415,144.399819006801,205.87326162857,149.847914599183,251.833541384071,195.264956374673,262.252521391871,208.107260480953,276.081155717893,222.771594521489,285.945039711032
AIM-Technology,R5ASIA,ZF2050,Capacity Additions|Electricity|Wind,GW/yr,28.22458,129.763345262389,286.14529272828,208.40203547413,149.92351090589,273.61251014953,314.596891217847,221.634047531362,163.303549158005,274.254812839999,284.662716858159,218.640365649034,166.790052711402,272.924657531543,283.649240168687,216.172179322616,163.722971007585
AIM-Technology,R5ASIA,ZF2050,Capacity Additions|Hydrogen|Electricity,GW,0,0,44.7378505655845,262.30960321923,323.41822684525,622.292649926673,1014.52992553398,403.052532937919,565.841561443729,1033.25930910579,305.167911189738,412.402141274355,1002.42319951355,307.079725977298,452.871210815719,1006.57081161382,314.047804046796
AIM-Technology,R5ASIA,ZF2060,Capacity Additions|Electricity|Solar|PV,GW/yr,33.21098,229.719548494355,197.010866530095,728.756896812596,497.720732686435,760.021958251261,1217.60627895779,1609.56707428434,1588.46330848584,918.605592599344,1163.54451696207,1464.47505613106,1796.49811084758,1050.02421650393,1304.54489061276,1617.74466934007,1865.61169620638
AIM-Technology,R5ASIA,ZF2060,Capacity Additions|Electricity|Storage Capacity,GWh/yr,0,0,29.8363502076038,148.29495504511,57.7612468720654,181.635382527292,80.0812403441849,203.353918291879,151.211512631313,211.752813662147,133.477003158062,240.441126590162,181.960280845028,266.121880733263,211.210896191112,278.44248309281,204.908731940167
